Time,Used
41772.123242,1856018880
41772.123288,1966838816
41772.123334,2025137624
41772.123381,2078928664
41772.123427,2143693568
41772.123473,2189218120
41772.123520,956454824
41772.123566,1040259896
41772.123612,1150924424
41772.123659,1318719272
41772.123705,1392432928
41772.123751,1467703312
41772.123797,1539024648
41772.123844,1655570152
41772.123890,1876682208
41772.123936,2002732312
41772.123983,2080962448
41772.124029,2165386576
41772.124075,2312512952
41772.124121,991735240
41772.124168,1049571328
41772.124214,1106546864
41772.124260,1285680696
41772.124307,1395603032
41772.124353,1463056112
41772.124399,1524029392
41772.124446,1646902248
41772.124492,1781635576
41772.124538,1899931896
41772.124584,2016126128
41772.124631,2245360464
41772.124677,2325735192
41772.124723,1014451160
41772.124770,1073410136
41772.124816,1126651816
41772.124862,1249806448
41772.124909,1363029440
41772.124955,1447445688
41772.125001,1667392544
41772.125047,1723743632
41772.125094,1775692088
41772.125140,1846265664
41772.125186,1908424000
41772.125233,1989920416
41772.125279,2082744040
41772.125325,2261437696
41772.125371,1178388088
41772.125418,1218606088
41772.125464,1249311232
41772.125510,1276983400
41772.125557,1289639120
41772.125603,1326895192
41772.125649,1698091416
41772.125696,1973575992
41772.125742,2055857664
41772.125788,2201629616
41772.125834,2321343664
41772.125881,994023200
41772.125927,1110238200
41772.125973,1185071768
41772.126020,1225832096
41772.126066,1286956544
41772.126112,1344033648
41772.126159,1483375872
41772.126205,1582528440
41772.126251,1659069160
41772.126297,1683933680
41772.126344,1713043904
41772.126390,1756054936
41772.126436,1803945112
41772.126483,1858802968
41772.126529,2040234712
41772.126575,2104161256
41772.126621,2223254888
41772.126668,1014554520
41772.126714,1148844440
41772.126760,1210240960
41772.126807,1231058336
41772.126853,1257364680
41772.126899,1395734528
41772.126946,1436748024
41772.126992,1484918048
41772.127038,1532819392
41772.127084,1713822608
41772.127131,1805192808
41772.127177,1861969320
41772.127223,1930805104
41772.127270,2106018912
41772.127316,2220621720
41772.127362,2330661048
41772.127409,1028757208
41772.127455,1065648528
41772.127501,945522256
41772.127547,1016710584
41772.127594,1071308768
41772.127640,1243229240
41772.127686,1294871128
41772.127733,1372589120
41772.127779,1469403880
41772.127825,1546669808
41772.127871,1597497424
41772.127918,1764223728
41772.127964,1856564336
41772.128010,2074013792
41772.128057,787373632
41772.128103,904060608
41772.128149,968899040
41772.128196,1038318048
41772.128242,1087792096
41772.128288,1155898808
41772.128334,1314005824
41772.128381,1492685592
